,index,LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
394,12901,,SHELTON,,,,,,,,,,,,
395,12904,,,,,,,,,,,,,PeoplesBank,
396,12937,,STAMFORD,,,,,,,,,,,,
397,12943,,EAST HAVEN,,,,,,,,,,,,
398,12991,,STARTFROD,,,,,,,,,,,,
399,13004,,,,,452990.0,,,,,,,,,
400,13034,,SOURTH MERIDEN,,,,,,,,,,,,
401,13051,,BARKHAMSTED,,,,,,,,,,,,
402,13075,,COLLINSVILLE,,,,,,,,,,,,
403,13098,,COLLINSVILLE,,,,,,,,,,,,
404,13190,,JOSEPH SZARMACH,,,,,,,,,,,,
405,13251,,NEW HAVEN,,,,,,,,,,,,
406,13272,,ENFILED,,,,,,,,,,,,
407,13317,,,,,,,,,,,,,PeoplesBank,
408,13342,,MIDDLETOWN,,,,,,,,,,,,
409,13401,,,,,,,,,,,,,"Peoples National Bank, National Association",
410,13418,,FAIRFIELD,,,,,,,,,,,,
411,13503,,NEW HAVEN,,,,,,,,,,,,
412,13523,,SOUTH NORWALK,,,,,,,,,,,,
413,13524,,06108,,,,,,,,,,,,
414,13531,,,,,,,,,,,,,Citizens Bank,
415,13569,,ROCKVILLE,,,,,,,,,,,,
416,13575,,,,,,,,,,,,,,CT -
417,13578,,BARKHAMSTED,,,,,,,,,,,,
418,13580,,WARERTOWN,,,,,,,,,,,,
419,13612,,EAST HAVEN,,,,,,,,,,,,
420,13664,,VERNON,,,,,,,,,,,,
421,13698,,WOODBRIDGE,,,,,,,,,,,,
422,13786,,06460,,,,,,,,,,,,
423,13884,,"MANSFIELD, CT.",,,,,,,,,,,,
424,13903,,EAST HADDAM,,,,,,,,,,,,
425,13919,,VERNON,,,,,,,,,,,,
426,13962,,EAST HARTFORD,,,,,,,,,,,,
427,13976,,VERNON,,,,,,,,,,,,
428,13994,,,,,454113.0,,,,,,,,,
429,14018,,GREENWICH,,,,,,,,,,,,
430,14067,,NEW CANNAN,,,,,,,,,,,,
431,14094,,WILLIMANTIC,,,,,,,,,,,,
432,14111,,E WINDSOR,,,,,,,,,,,,
433,14123,,WARREN,,,,,,,,,,,,
434,14185,,KENSINGTON,,,,,,,,,,,,
435,14388,,LISBON,,,,,,,,,,,,
436,14393,,WARREN,,,,,,,,,,,,
437,14394,,WILLLIMANTIC,,,,,,,,,,,,
438,14425,,WEST HARYTFIRD,,,,,,,,,,,,
439,14435,,BRANFORD,,,,,,,,,,,,
440,14452,,CT,,,,,,,,,,,,
441,14456,,BARKHAMSTED,,,,,,,,,,,,
442,14504,,,,,,,,,,,,,Citizens Bank,
443,14522,,S. MERIDEN,,,,,,,,,,,,
444,14527,,,,,,,,,,,,,,CT -
445,14568,,WINDHAM,,,,,,,,,,,,
446,14604,,VERNON,,,,,,,,,,,,
447,14618,,WALLINGFORD,,,,,,,,,,,,
448,14635,,,,,,,,,,,,,,CT -
449,14655,,"CROMWELL,",,,,,,,,,,,,
450,14672,,WARREN,,,,,,,,,,,,
451,14683,,COLLINSVILLE,,,,,,,,,,,,
452,14770,,,,,454111.0,,,,,,,,,
453,14800,,NEW HAVEN,,,,,,,,,,,,
454,14849,,BARKHAMSTED,,,,,,,,,,,,
455,14858,,GUILFORD CT,,,,,,,,,,,,
456,14868,,WARREN,,,,,,,,,,,,
457,14873,,KENSINGTON,,,,,,,,,,,,
458,14887,,LYME,,,,,,,,,,,,
459,14889,,NEW HAVEN,,,,,,,,,,,,
460,14938,,SUITE A,,,,,,,,,,,,
461,15006,,HARTFORD,,,,,,,,,,,,
462,15050,,VERNON,,,,,,,,,,,,
463,15060,,SOUTH WINDSOR CT,,,,,,,,,,,,
464,15064,,BOTON,,,,,,,,,,,,
465,15098,,KEVIN A LINDELL,,,,,,,,,,,,
466,15117,,NORWA,,,,,,,,,,,,
467,15174,,,,,541712.0,,,,,,,,,
468,15236,,GREENWICH,,,,,,,,,,,,
469,15239,,"STAMFORD, CT",,,,,,,,,,,,
470,15243,,STAMFORD,,,,,,,,,,,,
471,15261,,SOUTH WINSOR,,,,,,,,,,,,
472,15327,,VERNON,,,,,,,,,,,,
473,15345,,MIDDOETOWN,,,,,,,,,,,,
474,15350,,SOUTH WINDSOR,,,,,,,,,,,,
